"co2level","Date","GPP","Precipitation","Tair","Tem_soil_surface","Tem_soil_0_10cm","Tem_soil_10_20cm","Tem_soil_20_30cm","Tem_soil_30_40cm","Tem_soil_40_50cm","Tem_soil_50_60cm","Tem_soil_60_70cm","Tem_soil_70_80cm","Tem_soil_80_90cm","Tem_soil_90_100cm","Water_soil_0_10cm","Water_soil_10_20cm","Water_soil_20_30cm","Water_soil_30_40cm","Water_soil_40_50cm","Water_soil_50_60cm","Water_soil_60_70cm","Water_soil_70_80cm","Water_soil_80_90cm","Water_soil_90_100cm"
"CO2: 400 ppm",2015-05-28,3.5926,0.2,18.8283333333333,7.37791666666667,3.12375,0.572083333333333,-0.355416666666667,-0.58125,-0.309583333333333,0.269583333333333,0.849166666666667,1.33458333333333,1.725,2.11625,0.9526125,0.939066666666667,0.9427875,0.945404166666667,0.9472,0.9483875,0.949145833333333,0.9496,0.949825,0.95
"CO2: 400 ppm",2015-05-29,1.3955,4.1,13.51125,6.50166666666667,3.04041666666667,0.650416666666667,-0.276666666666667,-0.498333333333333,-0.233333333333333,0.34,0.912916666666667,1.39708333333333,1.78541666666667,2.175,0.952745833333333,0.939820833333333,0.9432,0.945625,0.947325,0.948466666666667,0.949195833333333,0.9496,0.949883333333333,0.95
"CO2: 400 ppm",2015-05-30,1.5382,0,8.28916666666667,5.12875,2.53833333333333,0.589583333333333,-0.25,-0.43,-0.17125,0.400416666666667,0.972916666666667,1.455,1.84375,2.23291666666667,0.952429166666667,0.939108333333333,0.942870833333333,0.945495833333333,0.947241666666667,0.948416666666667,0.949158333333333,0.9496,0.949854166666667,0.95
"CO2: 400 ppm",2015-05-31,1.9926,0,8.9575,4.52583333333333,2.19958333333333,0.503333333333333,-0.267916666666667,-0.436666666666667,-0.15625,0.408333333333333,0.972916666666667,1.44958333333333,1.83666666666667,2.22291666666667,0.952466666666667,0.937875,0.942191666666667,0.945120833333333,0.9470625,0.948345833333333,0.9491125,0.9496,0.9498,0.95
"CO2: 400 ppm",2015-06-01,2.8916,0,12.5558333333333,4.445,2.14541666666667,0.495,-0.26625,-0.431666666666667,-0.149583333333333,0.4125,0.974583333333333,1.44958333333333,1.83708333333333,2.22416666666667,0.952333333333333,0.936775,0.941554166666667,0.944754166666667,0.946875,0.9482125,0.949054166666667,0.94955,0.9498,0.95
"CO2: 400 ppm",2015-06-02,3.0734,0.3,17.7508333333333,4.445,2.14541666666667,0.495,-0.26625,-0.431666666666667,-0.149583333333333,0.4125,0.974583333333333,1.44958333333333,1.83708333333333,2.22416666666667,0.952616666666667,0.937166666666667,0.941645833333333,0.9447625,0.94685,0.948204166666667,0.949041666666667,0.9495125,0.9498,0.95
"CO2: 400 ppm",2015-06-03,1.9648,11.1,16.6591666666667,4.86625,2.46875,0.655416666666667,-0.23625,-0.435,-0.155833333333333,0.407083333333333,0.970416666666667,1.44083333333333,1.82208333333333,2.2025,0.9528,0.93925,0.9427375,0.945316666666667,0.947133333333333,0.94835,0.9491125,0.9496,0.949804166666667,0.95
"CO2: 400 ppm",2015-06-04,2.37,0.8,16.55125,7.17208333333333,3.49833333333333,1.05583333333333,-0.176666666666667,-0.466666666666667,-0.214583333333333,0.3425,0.899166666666667,1.36166666666667,1.73375,2.1025,0.9528375,0.941054166666667,0.943779166666667,0.945883333333333,0.947433333333333,0.948508333333333,0.9492,0.9496,0.9499,0.95
"CO2: 400 ppm",2015-06-05,3.8936,0,16.36375,7.74791666666667,3.71708333333333,1.17375,-0.152916666666667,-0.479583333333333,-0.219166666666667,0.33875,0.897083333333333,1.36166666666667,1.72916666666667,2.09708333333333,0.952679166666667,0.941325,0.9440375,0.946075,0.94755,0.948570833333333,0.949233333333333,0.949620833333333,0.9499,0.95
"CO2: 400 ppm",2015-06-06,1.709,33.9,13.3933333333333,6.73166666666667,3.57666666666667,1.27166666666667,-0.07375,-0.405833333333333,-0.152916666666667,0.404166666666667,0.96,1.42083333333333,1.78875,2.155,0.952708333333333,0.940966666666667,0.943916666666667,0.946041666666667,0.947558333333333,0.948595833333333,0.949241666666667,0.9496375,0.9499,0.95
"CO2: 400 ppm",2015-06-07,3.6881,7.8,18.11625,8.15916666666667,4.00625,1.41541666666667,-0.09125,-0.482916666666667,-0.206666666666667,0.34375,0.89375,1.34958333333333,1.71208333333333,2.07333333333333,0.952708333333333,0.94115,0.9440625,0.946158333333333,0.947633333333333,0.948620833333333,0.9493,0.9497,0.9499,0.95
"CO2: 400 ppm",2015-06-08,3.9193,0.2,18.2141666666667,8.57375,4.44583333333333,1.65708333333333,0.00333333333333333,-0.41625,-0.175416666666667,0.372083333333333,0.916666666666667,1.37,1.73333333333333,2.09541666666667,0.952745833333333,0.9411375,0.944104166666667,0.946204166666667,0.947666666666667,0.94865,0.9493,0.9497,0.9499,0.95
"CO2: 400 ppm",2015-06-09,4.0291,0.4,19.3645833333333,8.60166666666667,4.60875,1.8275,0.0779166666666667,-0.4,-0.167916666666667,0.375416666666667,0.919583333333333,1.37125,1.72791666666667,2.08625,0.952729166666667,0.941475,0.944316666666667,0.9463375,0.947741666666667,0.9487,0.9493,0.9497,0.9499,0.95
